average_price,loupan_type,loupan_detailAddress,loupan_title,loupan_region
25000,商铺,开福-福元中路28号,富兴旺角,开福
40000,商铺,雨花-雨花区韶山路汽车南站斜对角,裕天国际商汇中心,雨花
15000,住宅,开福-湘江北路三段1200号,北辰定江洋,开福
40000,商铺,岳麓-岳麓区银杉路559号,光明E城,岳麓
15000,别墅,望城-望城区金星北段209号（师大附中星城实验中学附近）,谷山逸墅,望城
42000,商铺,开福-开福区芙蓉北路与兴联路交汇处,钱隆国际,开福
24000,商铺,开福-北二环中段与捞刀河路交汇处东北角（彭家巷西北侧）,高岭国际商贸城,开福
18000,写字楼,雨花-雨花劳动东路439号（邻长沙玻璃纤维总厂）,中邦国际,雨花
20000,商铺,望城-长沙市湘江新区普瑞大道西,金桥国际,望城
30000,商铺,芙蓉-芙蓉区人民东路与望龙路交汇处西北角（红旗路口站附近）,紫御江山人民里,芙蓉
70000,商铺,岳麓-岳麓岳麓大道与潇湘北路交汇处东北角,长沙渔人码头,岳麓
26000,商铺,岳麓-洋湖垸坪塘大道与岳塘路交汇处东南角,北大资源时光,岳麓
15000,商铺,岳麓-岳麓西二环与杜鹃路交汇西北角（市政府北侧沿杜鹃路向西约两公里）,奥克斯缔壹城,岳麓
26000,商铺,雨花-万家丽中路三段189号,美洲故事,雨花
30000,商铺,雨花-雨花区万家丽路与木莲路交汇处往西200米,五江天街南区,雨花
30000,商铺,开福-徒岭路凯乐微谷,凯乐微谷,开福
12000,写字楼,芙蓉-芙蓉区车站北路465号烈士公园东门对面（步步高超市旁）,长盛上东区,芙蓉
8000,商业类,岳麓-含浦大道学士路99号（洋湖垸湿地公园西大门对面）,江山帝景,岳麓
20000,写字楼,雨花-雨花区人民中路152号（地质中学站附近）,中隆国际嘉熙中心,雨花
20000,商铺,天心-天心区书院路9号,保利国际广场,天心
20000,写字楼,天心-天心区书院路9号,保利国际广场,天心
16800,写字楼,开福-开福区芙蓉中路一段288号,华尔街中心,开福
21000,商铺,岳麓-岳麓区长沙绕城高速九龙领仕汇,九龙领仕汇,岳麓
9500,商铺,雨花-雨花香樟路255号（中航工业长沙院斜对面）,云集国际广场,雨花
7200,商业类,望城-望城区金星大道与月亮岛路交汇处东南角（长高集团对面）,明发国际城,望城
11500,住宅,天心-书院南路539号,锦天金岸雅苑,天心
15200,商业类,雨花-人民中路72号,地泰人民公馆,雨花
6000,住宅,天心-天心区芙蓉南路与伊莱克斯大道交汇处,星语林·南壹号,天心
15000,写字楼,岳麓-岳麓洋湖总部经济区兆新路与长湾路交汇处西南角（奥克斯广场南边）,恒伟湘江时代,岳麓
8888,写字楼,雨花-洞井中路与木莲冲路交汇处西南角,园康星都荟,雨花
9550,写字楼,雨花-香樟路469号,融创前海中心,雨花
26000,商铺,岳麓-岳麓区岳华路1200号,滨江海棠湾,岳麓
13500,写字楼,开福-徒岭路凯乐微谷,凯乐微谷,开福
23000,商铺,长沙县-经济开发区开元东路189号（洪家铺子以南）,宁华星湖湾,长沙县
20000,商铺,岳麓-文轩路579号,天元七彩MALL,岳麓
40000,商铺,开福-芙蓉中路一段113号,长沙华创国际广场,开福
17000,写字楼,开福-芙蓉中路一段113号,长沙华创国际广场,开福
6500,写字楼,芙蓉-映霞路23号以南250米处,中部智谷产业园,芙蓉
11000,写字楼,雨花-雨花区中意一路798号,高升财智汇,雨花
9000,写字楼,雨花-沙湾路339号,江河湾中心,雨花
40000,商铺,雨花-沙湾路339号,江河湾中心,雨花
24000,商铺,岳麓-岳麓区梅溪湖环湖路与近湖七路交汇处西北角（梅溪湖沙滩公园旁）,卓越浅水湾,岳麓
30000,商铺,岳麓-岳麓区坪塘大道与洋湖大道的交汇处往东100米（洋湖湿地公园一期东门左侧）,旷远洋湖18克拉,岳麓
25000,商铺,天心-天心区环保西路与中意路交汇处西南角,中信凯旋城,天心
14000,写字楼,雨花-雨花区湘府东路二段258号,双塔国际广场,雨花
25000,写字楼,天心-天心区环保西路与中意路交汇处西南角,中信凯旋城,天心
16000,写字楼,雨花-雨花区人民中路与梓园路交汇处东南角（湘雅二医院正对面）,大财门,雨花
30000,商铺,天心-天心区书院南路南二环二段306号,兴威帕克水岸,天心
10300,商业类,开福-开福区芙蓉北路二段163号,里约荟,开福
10000,住宅,开福-开福区芙蓉北路二段163号,里约荟,开福
36000,商铺,长沙县-经济开发区东六线与盼盼路交汇处东北角（泉塘公园北侧）,海德公园,长沙县
25000,商铺,岳麓-岳麓区正兴路118号,山水英伦庄园,岳麓
15000,写字楼,雨花-湘府东路二段200号,华坤时代,雨花
